11-BZK_005: 前往 天台    t=2729.1806539766385
8-H135: 前往 诸暨(安置点)    t=13460.080585130438


8-H135: ToTransZaiMin 诸暨(安置点) 2   t=13580.080585130438


8-H135: 前往 柯桥(集结地)    t=14256.647856878528


8-H135: JiuYuanMemberNeed 柯桥(集结地) 2   t=14376.647856878528


8-H135: 前往 磐安    t=15986.895514883254


8-H135: JiuYuanMemberNeed 磐安 2   t=16106.895514883254


8-H135: 前往 柯桥(集结地)    t=17717.14317288798


8-H135: JiuYuanMemberNeed 柯桥(集结地) 2   t=17837.14317288798


8-H135: 前往 磐安    t=19447.390830892706


8-H135: JiuYuanMemberNeed 磐安 2   t=19567.390830892706


1-M-26: 前往 温城(物资中心)    t=4642.377569897825


1-M-26: WuZiNeed 温城(物资中心) 8000   t=7042.377569897825


1-M-26: 前往 磐安    t=8711.274660560362


1-M-26: WuZiNeed 磐安 8000   t=11111.274660560362


1-M-26: 返回基地 杭州机场    t=13087.237273879442


1-M-26: 基地保障 杭州机场 20分钟   t=14287.237273879442


1-M-26: 前往 温城(物资中心)    t=17729.614843777268


1-M-26: SheBeiNeed 温城(物资中心) 1   t=18929.614843777268


1-M-26: 前往 缙云    t=20764.623789472007


1-M-26: SheBeiNeed 缙云 1   t=21964.623789472007


1-M-26: 返回基地 台州机场    t=23806.47961586211


1-M-26: 基地保障 台州机场 20分钟   t=25006.47961586211


1-M-26: 前往 东阳(水源)    t=26973.981436490416


1-M-26: FireNum 东阳(水源) 15   t=27873.981436490416


1-M-26: 前往 天台    t=28926.134061733417


1-M-26: FireNum 天台 15   t=29826.134061733417


1-M-26: 前往 温城(物资中心)    t=31130.242895911964


1-M-26: SheBeiNeed 温城(物资中心) 1   t=32330.242895911964


1-M-26: 前往 缙云    t=34165.2518416067


1-M-26: SheBeiNeed 缙云 1   t=35365.2518416067


1-M-26: 返回基地 台州机场    t=37207.10766799681


1-M-26: 基地保障 台州机场 20分钟   t=38407.10766799681


1-M-26: 返回基地 台州机场    t=38407.10766799681


1-M-26: 基地保障 台州机场 20分钟   t=39607.10766799681


2-S76: 前往 柯桥(集结地)    t=3766.5513635358748


2-S76: JiuYuanMemberNeed 柯桥(集结地) 13   t=4546.551363535875


2-S76: 前往 宁海(安置点)    t=6220.8259288061945


2-S76: JiuYuanMemberNeed 宁海(安置点) 13   t=7000.8259288061945


2-S76: 返回基地 台州机场    t=8088.441735898518


2-S76: 基地保障 台州机场 20分钟   t=9288.44173589852


2-S76: 前往 缙云    t=11034.438894744157


2-S76: ToTransZaiMin 缙云 13   t=11814.438894744157


2-S76: 前往 诸暨(安置点)    t=13390.826510135661


2-S76: ToTransZaiMin 诸暨(安置点) 13   t=14170.826510135661


2-S76: 前往 柯桥(集结地)    t=14809.666982343895


2-S76: JiuYuanMemberNeed 柯桥(集结地) 13   t=15589.666982343895


2-S76: 前往 磐安    t=17110.123878749844


2-S76: JiuYuanMemberNeed 磐安 13   t=17890.123878749844


2-S76: 返回基地 杭州机场    t=19763.248289145253


2-S76: 基地保障 杭州机场 20分钟   t=20963.248289145253


2-S76: 返回基地 杭州机场    t=20963.248289145253


2-S76: 基地保障 杭州机场 20分钟   t=22163.248289145253


2-S76: 前往 东阳(水源)    t=23673.469508075912


2-S76: FireNum 东阳(水源) 2   t=24573.469508075912


2-S76: 前往 天台    t=25570.863260629685


2-S76: FireNum 天台 2   t=26470.863260629685


2-S76: 前往 东阳(水源)    t=27468.25701318346


2-S76: FireNum 东阳(水源) 2   t=28368.25701318346


2-S76: 前往 天台    t=29365.65076573723


2-S76: FireNum 天台 2   t=30265.65076573723


2-S76: 返回基地 义乌机场    t=31564.890395727165


2-S76: 基地保障 义乌机场 20分钟   t=32764.890395727165


2-S76: 返回基地 义乌机场    t=32764.890395727165


2-S76: 基地保障 义乌机场 20分钟   t=33964.89039572717


2-S76: 前往 东阳(水源)    t=34269.12912258462


2-S76: FireNum 东阳(水源) 2   t=35169.12912258462


2-S76: 前往 天台    t=36166.5228751384


2-S76: FireNum 天台 2   t=37066.5228751384


9-MI171: 返回基地 杭州机场    t=2779.2041214760684


9-MI171: 基地保障 杭州机场 20分钟   t=3979.2041214760684


9-MI171: 返回基地 台州机场    t=7407.99899045026


9-MI171: 基地保障 台州机场 20分钟   t=8607.99899045026


9-MI171: 返回基地 台州机场    t=8607.99899045026


9-MI171: 基地保障 台州机场 20分钟   t=9807.99899045026


9-MI171: 前往 温城(物资中心)    t=10114.243851958467


9-MI171: WuZiNeed 温城(物资中心) 1200   t=10654.243851958467


9-MI171: 前往 乐清    t=11397.375040079613


9-MI171: WuZiNeed 乐清 1200   t=11937.375040079613


9-MI171: 返回基地 台州机场    t=12925.93724888927


9-MI171: 基地保障 台州机场 20分钟   t=14125.93724888927


9-MI171: 返回基地 台州机场    t=14125.93724888927


9-MI171: 基地保障 台州机场 20分钟   t=15325.93724888927


9-MI171: 返回基地 义乌机场    t=17747.762825426013


9-MI171: 基地保障 义乌机场 20分钟   t=18947.762825426013


9-MI171: 返回基地 杭州机场    t=20526.96694690208


9-MI171: 基地保障 杭州机场 20分钟   t=21726.96694690208


9-MI171: 返回基地 杭州机场    t=21726.96694690208


9-MI171: 基地保障 杭州机场 20分钟   t=22926.96694690208


9-MI171: 返回基地 义乌机场    t=24506.17106837815


9-MI171: 基地保障 义乌机场 20分钟   t=25706.17106837815


9-MI171: 返回基地 义乌机场    t=25706.17106837815


9-MI171: 基地保障 义乌机场 20分钟   t=26906.17106837815


9-MI171: 前往 东阳(水源)    t=27247.171974730874


9-MI171: FireNum 东阳(水源) 3   t=28147.171974730874


9-MI171: 前往 天台    t=29265.084139051563


9-MI171: FireNum 天台 3   t=30165.084139051563


9-MI171: 返回基地 台州机场    t=31311.969629534044


9-MI171: 基地保障 台州机场 20分钟   t=32511.969629534044


9-MI171: 返回基地 杭州机场    t=35940.76449850824


9-MI171: 基地保障 杭州机场 20分钟   t=37140.76449850824


