2-S76: ZCArea 天台 160   t=5827.904278392829


2-S76: 前往 东阳(水源)    t=6825.298030946603


2-S76: FireNum 东阳(水源) 2   t=7725.298030946603


2-S76: 前往 天台    t=8722.691783500377


2-S76: FireNum 天台 2   t=9622.691783500377


2-S76: 返回基地 义乌机场    t=10921.931413490312


2-S76: 基地保障 义乌机场 20分钟   t=12121.931413490312


2-S76: 前往 柯桥(集结地)    t=13361.705841421997


2-S76: JiuYuanMemberNeed 柯桥(集结地) 13   t=14141.705841421997


2-S76: 前往 磐安    t=15662.162737827946


2-S76: JiuYuanMemberNeed 磐安 13   t=16442.162737827945


2-S76: 前往 柯桥(集结地)    t=17962.61963423389


2-S76: JiuYuanMemberNeed 柯桥(集结地) 13   t=18742.61963423389


2-S76: 前往 磐安    t=20263.07653063984


2-S76: JiuYuanMemberNeed 磐安 13   t=21043.07653063984


2-S76: 返回基地 义乌机场    t=21739.50248188155


2-S76: 基地保障 义乌机场 20分钟   t=22939.50248188155


2-S76: 返回基地 杭州机场    t=24348.457831897373


2-S76: 基地保障 杭州机场 20分钟   t=25548.457831897373


2-S76: 前往 东阳(水源)    t=27058.679050828032


2-S76: FireNum 东阳(水源) 2   t=27958.679050828032


2-S76: 前往 天台    t=28956.072803381805


2-S76: FireNum 天台 2   t=29856.072803381805


10-H225: 前往 温城(物资中心)    t=1466.2998795723543


10-H225: WuZiNeed 温城(物资中心) 1424   t=2107.0998795723544


10-H225: 前往 磐安    t=3649.0156698583946


10-H225: WuZiNeed 磐安 1424   t=4289.815669858394


10-H225: 前往 柯桥(集结地)    t=5771.710253674337


10-H225: JiuYuanMemberNeed 柯桥(集结地) 19   t=6626.710253674337


10-H225: 前往 宁海(安置点)    t=8258.521333593599


10-H225: JiuYuanMemberNeed 宁海(安置点) 19   t=9113.521333593599


10-H225: 前往 温城(物资中心)    t=10435.386264119546


10-H225: WuZiNeed 温城(物资中心) 2545   t=11580.636264119546


10-H225: 前往 乐清    t=12226.83729726837


10-H225: WuZiNeed 乐清 2545   t=13372.08729726837


10-H225: 返回基地 义乌机场    t=15521.994249322248


10-H225: 基地保障 义乌机场 20分钟   t=16721.994249322248


10-H225: 前往 柯桥(集结地)    t=17930.32512292233


10-H225: JiuYuanMemberNeed 柯桥(集结地) 19   t=18785.32512292233


10-H225: 前往 磐安    t=20267.219706738273


10-H225: JiuYuanMemberNeed 磐安 19   t=21122.219706738273


10-H225: 前往 东阳(水源)    t=21530.081029827856


10-H225: FireNum 东阳(水源) 4   t=22430.081029827856


10-H225: 前往 天台    t=23402.17856401976


10-H225: FireNum 天台 4   t=24302.17856401976


10-H225: 前往 东阳(水源)    t=25274.276098211663


10-H225: FireNum 东阳(水源) 4   t=26174.276098211663


10-H225: 前往 天台    t=27146.373632403567


10-H225: FireNum 天台 4   t=28046.373632403567


10-H225: 前往 东阳(水源)    t=29018.47116659547


10-H225: FireNum 东阳(水源) 4   t=29918.47116659547


10-H225: 前往 天台    t=30890.568700787375


10-H225: FireNum 天台 4   t=31790.568700787375


9-MI171: 返回基地 杭州机场    t=2779.2041214760684


9-MI171: 基地保障 杭州机场 20分钟   t=3979.2041214760684


9-MI171: 返回基地 义乌机场    t=5558.408242952137


9-MI171: 基地保障 义乌机场 20分钟   t=6758.408242952137


9-MI171: 返回基地 义乌机场    t=6758.408242952137


9-MI171: 基地保障 义乌机场 20分钟   t=7958.408242952137


9-MI171: 返回基地 台州机场    t=10380.23381948888


