9-MI171: 前往基地 义乌机场    t=1200.0
1-M-26: 前往 柯桥(集结地)    t=3907.4600658476484
1-M-26: JiuYuanMemberNeed 柯桥(集结地) 40   t=5107.460065847648
1-M-26: 前往 宁海(安置点)    t=6873.655587642614
1-M-26: JiuYuanMemberNeed 宁海(安置点) 40   t=8073.655587642614
1-M-26: 前往 温城(物资中心)    t=9504.379983035406
1-M-26: SheBeiNeed 温城(物资中心) 1   t=10704.379983035406
1-M-26: 前往 缙云    t=12539.388928730144
1-M-26: SheBeiNeed 缙云 1   t=13739.388928730144
1-M-26: 前往基地 义乌机场    t=14826.903581202529
1-M-26: 基地保障 义乌机场 20分钟   t=16026.903581202529
1-M-26: 前往 柯桥(集结地)    t=17334.744056157913
1-M-26: JiuYuanMemberNeed 柯桥(集结地) 61   t=19164.744056157913
1-M-26: 前往 磐安    t=20768.67701746458
1-M-26: JiuYuanMemberNeed 磐安 61   t=22598.67701746458
1-M-26: 前往 东阳(水源)    t=23040.126920102717
1-M-26: FireNum 东阳(水源) 15   t=23940.126920102717
1-M-26: 前往 天台    t=24992.27954534572
1-M-26: FireNum 天台 15   t=25892.27954534572
1-M-26: 前往基地 义乌机场    t=27262.84997855079
1-M-26: 基地保障 义乌机场 20分钟   t=28462.84997855079
1-M-26: 前往 温城(物资中心)    t=30866.305744598452
1-M-26: SheBeiNeed 温城(物资中心) 1   t=32066.305744598452
1-M-26: 前往 缙云    t=33901.31469029319
1-M-26: SheBeiNeed 缙云 1   t=35101.31469029319
1-M-26: 前往 东阳(水源)    t=36100.216966424996
1-M-26: FireNum 东阳(水源) 15   t=37000.216966424996
1-M-26: 前往 天台    t=38052.36959166799
1-M-26: FireNum 天台 15   t=38952.36959166799


10-H225: 前往 缙云    t=3567.964168141156
10-H225: ToTransZaiMin 缙云 19   t=4422.964168141156
10-H225: 前往 诸暨(安置点)    t=5959.370938214759
10-H225: ToTransZaiMin 诸暨(安置点) 19   t=6814.370938214759
10-H225: 前往 东阳(水源)    t=7438.85600264549
10-H225: FireNum 东阳(水源) 4   t=8338.85600264549
10-H225: 前往 天台    t=9310.953536837394
10-H225: FireNum 天台 4   t=10210.953536837394
10-H225: 前往 缙云    t=11561.54113438935
10-H225: ToTransZaiMin 缙云 19   t=12416.54113438935
10-H225: 前往 宁海(安置点)    t=14326.687006617021
10-H225: ToTransZaiMin 宁海(安置点) 19   t=15181.687006617021
10-H225: 前往基地 台州机场    t=16241.718354833816
10-H225: 基地保障 台州机场 20分钟   t=17441.718354833814
10-H225: 前往基地 义乌机场    t=19547.653638778807
10-H225: 基地保障 义乌机场 20分钟   t=20747.653638778807
10-H225: 前往 东阳(水源)    t=21044.176166042045
10-H225: FireNum 东阳(水源) 4   t=21944.176166042045
10-H225: 前往 天台    t=22916.27370023395
10-H225: FireNum 天台 4   t=23816.27370023395
10-H225: 前往 东阳(水源)    t=24788.371234425853
10-H225: FireNum 东阳(水源) 4   t=25688.371234425853
10-H225: 前往 天台    t=26660.468768617757
10-H225: FireNum 天台 4   t=27560.468768617757
10-H225: 前往 东阳(水源)    t=28532.56630280966
10-H225: FireNum 东阳(水源) 4   t=29432.56630280966
10-H225: 前往 天台    t=30404.663837001564
10-H225: FireNum 天台 4   t=31304.663837001564
10-H225: 前往 东阳(水源)    t=32276.76137119347
10-H225: FireNum 东阳(水源) 4   t=33176.76137119347
10-H225: 前往 天台    t=34148.85890538537
10-H225: FireNum 天台 4   t=35048.85890538537
10-H225: 前往基地 杭州机场    t=37033.1279303407
10-H225: 基地保障 杭州机场 20分钟   t=38233.1279303407
10-H225: 前往基地 义乌机场    t=39606.34890553728
10-H225: 基地保障 义乌机场 20分钟   t=40806.34890553728


