

9-MI171: 返回基地 义乌机场    t=23761.20698545626
9-MI171: 基地保障 义乌机场 20分钟   t=24961.20698545626
9-MI171: 返回基地 义乌机场    t=24961.20698545626
9-MI171: 基地保障 义乌机场 20分钟   t=26161.20698545626


2-S76: 前往 温城(物资中心)    t=4463.2203729514695
2-S76: WuZiNeed 温城(物资中心) 2300   t=5843.2203729514695
2-S76: 前往 磐安    t=7425.260365958708
2-S76: WuZiNeed 磐安 2300   t=8805.260365958708
2-S76: 返回基地 台州机场    t=10274.423511763309
2-S76: 基地保障 台州机场 20分钟   t=11474.423511763309
2-S76: 前往 柯桥(集结地)    t=14040.974875299184
2-S76: JiuYuanMemberNeed 柯桥(集结地) 13   t=14820.974875299184
2-S76: 前往 磐安    t=16341.431771705133
2-S76: JiuYuanMemberNeed 磐安 13   t=17121.43177170513
2-S76: 前往 东阳(水源)    t=17539.906586473626
2-S76: FireNum 东阳(水源) 2   t=18439.906586473626
2-S76: 前往 天台    t=19437.3003390274
2-S76: FireNum 天台 2   t=20337.3003390274
2-S76: 返回基地 义乌机场    t=21636.539969017333
2-S76: 基地保障 义乌机场 20分钟   t=22836.539969017333
2-S76: 返回基地 台州机场    t=24997.27654287911
2-S76: 基地保障 台州机场 20分钟   t=26197.27654287911


10-H225: 前往 缙云    t=3567.964168141156
10-H225: ToTransZaiMin 缙云 19   t=4422.964168141156
10-H225: 前往 诸暨(安置点)    t=5959.370938214759
10-H225: ToTransZaiMin 诸暨(安置点) 19   t=6814.370938214759
10-H225: 前往 柯桥(集结地)    t=7437.008934678581
10-H225: JiuYuanMemberNeed 柯桥(集结地) 19   t=8292.00893467858
10-H225: 前往 磐安    t=9773.903518494524
10-H225: JiuYuanMemberNeed 磐安 19   t=10628.903518494524
10-H225: 前往 东阳(水源)    t=11036.764841584107
10-H225: FireNum 东阳(水源) 4   t=11936.764841584107
10-H225: 前往 天台    t=12908.86237577601
10-H225: FireNum 天台 4   t=13808.86237577601
10-H225: 返回基地 义乌机场    t=15075.150276019824
10-H225: 基地保障 义乌机场 20分钟   t=16275.150276019824
10-H225: 返回基地 杭州机场    t=17648.371251216406
10-H225: 基地保障 杭州机场 20分钟   t=18848.371251216406
10-H225: 前往 东阳(水源)    t=20320.289758072737
10-H225: FireNum 东阳(水源) 4   t=21220.289758072737
10-H225: 前往 天台    t=22192.38729226464
10-H225: FireNum 天台 4   t=23092.38729226464
10-H225: 前往 东阳(水源)    t=24064.484826456544
10-H225: FireNum 东阳(水源) 4   t=24964.484826456544
10-H225: 前往 天台    t=25936.58236064845
10-H225: FireNum 天台 4   t=26836.58236064845


1-M-26: 前往 柯桥(集结地)    t=2507.840474955386
1-M-26: JiuYuanMemberNeed 柯桥(集结地) 40   t=3707.840474955386
1-M-26: 前往 宁海(安置点)    t=5474.035996750351
1-M-26: JiuYuanMemberNeed 宁海(安置点) 40   t=6674.035996750351
1-M-26: 前往 缙云    t=8741.487999632065
1-M-26: ToTransZaiMin 缙云 39   t=9911.487999632065
1-M-26: 前往 宁海(安置点)    t=11978.94000251378
1-M-26: ToTransZaiMin 宁海(安置点) 39   t=13148.94000251378
1-M-26: 返回基地 义乌机场    t=15042.406825570823
1-M-26: 基地保障 义乌机场 20分钟   t=16242.406825570823
1-M-26: 前往 东阳(水源)    t=16563.348855079268
1-M-26: FireNum 东阳(水源) 15   t=17463.348855079268
1-M-26: 前往 天台    t=18515.50148032227
1-M-26: FireNum 天台 15   t=19415.50148032227
1-M-26: 前往 温城(物资中心)    t=20719.610314500816
1-M-26: SheBeiNeed 温城(物资中心) 1   t=21919.610314500816
1-M-26: 前往 缙云    t=23754.619260195555
1-M-26: SheBeiNeed 缙云 1   t=24954.619260195555
1-M-26: 返回基地 杭州机场    t=27517.59224218363
1-M-26: 基地保障 杭州机场 20分钟   t=28717.59224218363
1-M-26: 前往 东阳(水源)    t=30310.72756725166
1-M-26: FireNum 东阳(水源) 15   t=31210.72756725166
1-M-26: 前往 天台    t=32262.88019249466
1-M-26: FireNum 天台 15   t=33162.88019249466
1-M-26: 前往 温城(物资中心)    t=34466.9890266732
1-M-26: SheBeiNeed 温城(物资中心) 1   t=35666.9890266732
1-M-26: 前往 缙云    t=37501.99797236794
1-M-26: SheBeiNeed 缙云 1   t=38701.99797236794


