

2-S76: 基地保障 义乌机场 20分钟   t=27030.407263016
2-S76: 前往 东阳(水源)    t=27334.64598987345
2-S76: FireNum 东阳(水源) 2   t=28234.64598987345
2-S76: 前往 天台    t=29232.039742427223
2-S76: FireNum 天台 2   t=30132.039742427223
2-S76: 前往 东阳(水源)    t=31129.433494980996
2-S76: FireNum 东阳(水源) 2   t=32029.433494980996
2-S76: 前往 天台    t=33026.82724753477
2-S76: FireNum 天台 2   t=33926.82724753477


1-M-26: 前往 柯桥(集结地)    t=1767.7117076514858
1-M-26: JiuYuanMemberNeed 柯桥(集结地) 40   t=2967.711707651486
1-M-26: 前往 宁海(安置点)    t=4733.907229446451
1-M-26: JiuYuanMemberNeed 宁海(安置点) 40   t=5933.907229446451
1-M-26: 前往 温城(物资中心)    t=7364.631624839242
1-M-26: WuZiNeed 温城(物资中心) 4000   t=8564.631624839243
1-M-26: 前往 乐清    t=9264.049213659146
1-M-26: WuZiNeed 乐清 4000   t=10464.049213659146
1-M-26: 返回基地 义乌机场    t=12791.0073264704
1-M-26: 基地保障 义乌机场 20分钟   t=13991.0073264704
1-M-26: 前往 缙云    t=15078.521978942785
1-M-26: ToTransZaiMin 缙云 77   t=17388.521978942787
1-M-26: 前往 诸暨(安置点)    t=19051.456365375394
1-M-26: ToTransZaiMin 诸暨(安置点) 77   t=21361.456365375394
1-M-26: 前往 东阳(水源)    t=22037.369611582773
1-M-26: FireNum 东阳(水源) 15   t=22937.369611582773
1-M-26: 前往 天台    t=23989.522236825775
1-M-26: FireNum 天台 15   t=24889.522236825775
1-M-26: 返回基地 义乌机场    t=26260.092670030845
1-M-26: 基地保障 义乌机场 20分钟   t=27460.092670030845
1-M-26: 前往 温城(物资中心)    t=29863.54843607851
1-M-26: SheBeiNeed 温城(物资中心) 1   t=31063.54843607851
1-M-26: 前往 缙云    t=32898.557381773244
1-M-26: SheBeiNeed 缙云 1   t=34098.557381773244
1-M-26: 前往 温城(物资中心)    t=35933.56632746798
1-M-26: SheBeiNeed 温城(物资中心) 1   t=37133.56632746798
1-M-26: 前往 缙云    t=38968.57527316272
1-M-26: SheBeiNeed 缙云 1   t=40168.57527316272


10-H225: 前往 东阳(水源)    t=2671.9185068563315
10-H225: FireNum 东阳(水源) 4   t=3571.9185068563315
10-H225: 前往 天台    t=4544.016041048235
10-H225: FireNum 天台 4   t=5444.016041048235
10-H225: 前往 温城(物资中心)    t=6648.8992030610225
10-H225: WuZiNeed 温城(物资中心) 3749   t=8335.949203061022
10-H225: 前往 磐安    t=9877.864993347062
10-H225: WuZiNeed 磐安 3749   t=11564.914993347062
10-H225: 前往 东阳(水源)    t=11972.776316436644
10-H225: FireNum 东阳(水源) 4   t=12872.776316436644
10-H225: 前往 天台    t=13844.873850628548
10-H225: FireNum 天台 4   t=14744.873850628548
10-H225: 返回基地 杭州机场    t=16729.14287558388
10-H225: 基地保障 杭州机场 20分钟   t=17929.14287558388
10-H225: 返回基地 台州机场    t=20910.70363121361
10-H225: 基地保障 台州机场 20分钟   t=22110.70363121361
10-H225: 前往 东阳(水源)    t=23928.504226359328
10-H225: FireNum 东阳(水源) 4   t=24828.504226359328
10-H225: 前往 天台    t=25800.60176055123
10-H225: FireNum 天台 4   t=26700.60176055123
10-H225: 前往 东阳(水源)    t=27672.699294743135
10-H225: FireNum 东阳(水源) 4   t=28572.699294743135
10-H225: 前往 天台    t=29544.79682893504
10-H225: FireNum 天台 4   t=30444.79682893504
10-H225: 前往 东阳(水源)    t=31416.894363126943
10-H225: FireNum 东阳(水源) 4   t=32316.894363126943
10-H225: 前往 天台    t=33288.99189731885
10-H225: FireNum 天台 4   t=34188.99189731885


